K00170	porB;_pyruvate_ferredoxin_oxidoreductase_beta_subunit_[EC:1.2.7.1]	00010_Glycolysis_/_Gluconeogenesis_[PATH:ko00010]|00020_Citrate_cycle_(TCA_cycle)_[PATH:ko00020]|00620_Pyruvate_metabolism_[PATH:ko00620]|00633_Nitrotoluene_degradation_[PATH:ko00633]|00640_Propanoate_metabolism_[PATH:ko00640]|00650_Butanoate_metabolism_[PATH:ko00650]|00680_Methane_metabolism_[PATH:ko00680]|00720_Carbon_fixation_pathways_in_prokaryotes_[PATH:ko00720]
K00172	porC,_porG;_pyruvate_ferredoxin_oxidoreductase_gamma_subunit_[EC:1.2.7.1]	00010_Glycolysis_/_Gluconeogenesis_[PATH:ko00010]|00020_Citrate_cycle_(TCA_cycle)_[PATH:ko00020]|00620_Pyruvate_metabolism_[PATH:ko00620]|00633_Nitrotoluene_degradation_[PATH:ko00633]|00640_Propanoate_metabolism_[PATH:ko00640]|00650_Butanoate_metabolism_[PATH:ko00650]|00680_Methane_metabolism_[PATH:ko00680]|00720_Carbon_fixation_pathways_in_prokaryotes_[PATH:ko00720]
K00189	vorG,_porG;_2-oxoisovalerate/pyruvate_ferredoxin_oxidoreductase_gamma_subunit_[EC:1.2.7.7_1.2.7.1]	00010_Glycolysis_/_Gluconeogenesis_[PATH:ko00010]|00020_Citrate_cycle_(TCA_cycle)_[PATH:ko00020]|00280_Valine,_leucine_and_isoleucine_degradation_[PATH:ko00280]|00620_Pyruvate_metabolism_[PATH:ko00620]|00633_Nitrotoluene_degradation_[PATH:ko00633]|00640_Propanoate_metabolism_[PATH:ko00640]|00650_Butanoate_metabolism_[PATH:ko00650]|00680_Methane_metabolism_[PATH:ko00680]|00720_Carbon_fixation_pathways_in_prokaryotes_[PATH:ko00720]
K00171	porD;_pyruvate_ferredoxin_oxidoreductase_delta_subunit_[EC:1.2.7.1]	00010_Glycolysis_/_Gluconeogenesis_[PATH:ko00010]|00020_Citrate_cycle_(TCA_cycle)_[PATH:ko00020]|00620_Pyruvate_metabolism_[PATH:ko00620]|00633_Nitrotoluene_degradation_[PATH:ko00633]|00640_Propanoate_metabolism_[PATH:ko00640]|00650_Butanoate_metabolism_[PATH:ko00650]|00680_Methane_metabolism_[PATH:ko00680]|00720_Carbon_fixation_pathways_in_prokaryotes_[PATH:ko00720]
K03737	por,_nifJ;_pyruvate-ferredoxin/flavodoxin_oxidoreductase_[EC:1.2.7.1_1.2.7.-]	00010_Glycolysis_/_Gluconeogenesis_[PATH:ko00010]|00020_Citrate_cycle_(TCA_cycle)_[PATH:ko00020]|00620_Pyruvate_metabolism_[PATH:ko00620]|00650_Butanoate_metabolism_[PATH:ko00650]|00720_Carbon_fixation_pathways_in_prokaryotes_[PATH:ko00720]
K00174	korA,_oorA,_oforA;_2-oxoglutarate/2-oxoacid_ferredoxin_oxidoreductase_subunit_alpha_[EC:1.2.7.3_1.2.7.11]	00010_Glycolysis_/_Gluconeogenesis_[PATH:ko00010]|00020_Citrate_cycle_(TCA_cycle)_[PATH:ko00020]|00620_Pyruvate_metabolism_[PATH:ko00620]|00650_Butanoate_metabolism_[PATH:ko00650]|00720_Carbon_fixation_pathways_in_prokaryotes_[PATH:ko00720]
K00175	korB,_oorB,_oforB;_2-oxoglutarate/2-oxoacid_ferredoxin_oxidoreductase_subunit_beta_[EC:1.2.7.3_1.2.7.11]	00010_Glycolysis_/_Gluconeogenesis_[PATH:ko00010]|00020_Citrate_cycle_(TCA_cycle)_[PATH:ko00020]|00620_Pyruvate_metabolism_[PATH:ko00620]|00650_Butanoate_metabolism_[PATH:ko00650]|00720_Carbon_fixation_pathways_in_prokaryotes_[PATH:ko00720]
K00016	LDH,_ldh;_L-lactate_dehydrogenase_[EC:1.1.1.27]	00010_Glycolysis_/_Gluconeogenesis_[PATH:ko00010]|00270_Cysteine_and_methionine_metabolism_[PATH:ko00270]|00620_Pyruvate_metabolism_[PATH:ko00620]|00640_Propanoate_metabolism_[PATH:ko00640]|04066_HIF-1_signaling_pathway_[PATH:ko04066]|04147_Exosome_[BR:ko04147]|04922_Glucagon_signaling_pathway_[PATH:ko04922]|05230_Central_carbon_metabolism_in_cancer_[PATH:ko05230]
K01568	PDC,_pdc;_pyruvate_decarboxylase_[EC:4.1.1.1]	00010_Glycolysis_/_Gluconeogenesis_[PATH:ko00010]
K13951	ADH1_7;_alcohol_dehydrogenase_1/7_[EC:1.1.1.1]	00010_Glycolysis_/_Gluconeogenesis_[PATH:ko00010]|00071_Fatty_acid_degradation_[PATH:ko00071]|00350_Tyrosine_metabolism_[PATH:ko00350]|00620_Pyruvate_metabolism_[PATH:ko00620]|00830_Retinol_metabolism_[PATH:ko00830]|00980_Metabolism_of_xenobiotics_by_cytochrome_P450_[PATH:ko00980]|00982_Drug_metabolism_-_cytochrome_P450_[PATH:ko00982]|04936_Alcoholic_liver_disease_[PATH:ko04936]
